,url,name,header,guests,bedrooms,beds,bathrooms,kitchen,wifi,free-parking,rating,review,Actual_price per,Total_price
22,/rooms/43969622?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=f57c586c-cc0e-4366-b999-c5d7dcd6edb3,Entire rental unit in Finkenberg,Apartment Schmalzl - Terrace,4,2,4,1,1,1,1,4.76,17,10533,47083
23,/rooms/46991057?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=f57c586c-cc0e-4366-b999-c5d7dcd6edb3,Entire rental unit in Mayrhofen,"Apartment Bergglück, Bergglück 4",4,2,3,1,1,1,1,5,3,17968,71872
24,/rooms/48539097?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=f57c586c-cc0e-4366-b999-c5d7dcd6edb3,Entire rental unit in Mayrhofen,"""Appartements Windschnur Zirbe 6 er"" near the Ski Areas with Wi-Fi & Balcony; Parking Available",6,2,5,1,1,1,1,4,3,16545,75420
25,/rooms/31741201?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=f57c586c-cc0e-4366-b999-c5d7dcd6edb3,Entire rental unit in Schwaz,Apart Melanie in the Zillertal/Zell am Ziller,4,2,2,1,1,1,1,4.96,25,8582,38453
26,/rooms/36807454?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=f57c586c-cc0e-4366-b999-c5d7dcd6edb3,Entire rental unit in Mayrhofen,Inviting Apartment near Ski Area in Schwendau,4,2,2,2,1,1,0,5,8,12485,49940
27,/rooms/25202024?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=f57c586c-cc0e-4366-b999-c5d7dcd6edb3,Entire rental unit in Hippach-Schwendberg,Apartment Linda,6,2,4,1,1,1,1,4.83,13,12366,55653
28,/rooms/53211586?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=f57c586c-cc0e-4366-b999-c5d7dcd6edb3,Entire rental unit in Mayrhofen,Wohnung in idealer Lage,4,2,4,1,1,1,1,4.75,8,16241,71565
29,/rooms/27947042?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=f57c586c-cc0e-4366-b999-c5d7dcd6edb3,Entire rental unit in Mayrhofen,Ratschnhof (MHO587) for 7 persons.,7,3,4,2,1,1,0,0,0,12357,49428
30,/rooms/13555575?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=f57c586c-cc0e-4366-b999-c5d7dcd6edb3,Entire home in Mayrhofen,Chalet Tirolerland - a house for yourself!,8,4,8,2,1,1,1,4.86,22,16297,73355
31,/rooms/42986861?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=f57c586c-cc0e-4366-b999-c5d7dcd6edb3,Entire rental unit in Schwendau,Zack's Mountain Top,4,2,3,1,1,0,0,5,3,16712,73450
32,/rooms/43338318?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=f57c586c-cc0e-4366-b999-c5d7dcd6edb3,Entire rental unit in Mayrhofen,Nieslerhof - apartment on the edge of the forest,4,2,4,1,1,1,1,0,0,13329,57441
33,/rooms/49076830?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=f57c586c-cc0e-4366-b999-c5d7dcd6edb3,Private room in Schwendau,Quaint living in the Melcherhof,12,6,15,2,0,0,0,4.92,25,13763,55464
34,/rooms/52236968?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=f57c586c-cc0e-4366-b999-c5d7dcd6edb3,Entire rental unit in Ramsau im Zillertal,"Apart Martin , Urlaub mitten in der Natur",7,3,4,3.5,1,1,1,4.75,4,12533,58384
35,/rooms/45375766?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=f57c586c-cc0e-4366-b999-c5d7dcd6edb3,Entire rental unit in Zell am Ziller,Blasinghof,6,2,3,1,1,1,0,0,0,7612,36225
36,/rooms/50666523?adults=4&check_in=2022-07-14&check_out=2022-07-18&previous_page_section_name=1000&federated_search_id=f57c586c-cc0e-4366-b999-c5d7dcd6edb3,Entire serviced apartment in Hainzenberg,"The Waidachhof Zillertal - Apartment ""Schafskopf""",8,3,4,1,1,1,1,4.33,3,11594,50500
